id,product_name,description,category
1,Wireless Headphones,  Premium wireless headphones with ACTIVE Noise Cancellation and 30hr battery life  ,Audio
2,Gaming Mouse,high precision gaming mouse with RGB lighting and 16000 DPI sensor,Gaming
3,Mechanical Keyboard,,Keyboards
4,4K Monitor,  ultra slim 4K monitor with HDR support and 144hz refresh rate,Monitors
5,Laptop Stand,ADJUSTABLE aluminium laptop stand with heat dissipation design,Accessories
6,USB-C Hub,7-in-1 USB-C hub with HDMI 4K output and 100W power delivery,Accessories
7,Webcam,,Peripherals
8,Bluetooth Speaker,  PORTABLE bluetooth speaker with 360 degree sound and IPX7 waterproof rating  ,Audio
9,Smartwatch,advanced smartwatch with health monitoring   and GPS tracking,Wearables
10,Wireless Charger,  ,Accessories
11,Gaming Headset,surround sound GAMING headset with detachable noise cancelling microphone,Gaming
12,External SSD,compact external SSD with READ speeds up to 1050MB/s and USB 3.2 support,Storage
13,Graphics Card,,Components
14,Mechanical Numpad,  compact mechanical numpad with HOT-SWAP switches and per key RGB  ,Keyboards
15,Portable Projector,mini portable projector with 1080P resolution and built in android OS,Display
16,RAM Kit,  32GB DDR5 RAM kit with RGB lighting and XMP 3.0 SUPPORT,Components
17,Action Camera,waterproof action camera with 5K video   and image stabilisation,Cameras
18,Smart Display,,Smart Home
19,Noise Cancelling Earbuds,TRUE wireless earbuds with active noise cancellation and 8hr battery life,Audio
20,PCIe SSD,high performance PCIe 4.0 SSD with read speeds of 7000MB/s,Storage
