id,product_name,description,category
1,Wireless Headphones,premium wireless headphones with active noise cancellation and 30hr battery life,Audio
2,Gaming Mouse,high precision gaming mouse with rgb lighting and 16000 dpi sensor,Gaming
4,4K Monitor,ultra slim 4k monitor with hdr support and 144hz refresh rate,Monitors
5,Laptop Stand,adjustable aluminium laptop stand with heat dissipation design,Accessories
6,USB-C Hub,7-in-1 usb-c hub with hdmi 4k output and 100w power delivery,Accessories
8,Bluetooth Speaker,portable bluetooth speaker with 360 degree sound and ipx7 waterproof rating,Audio
9,Smartwatch,advanced smartwatch with health monitoring   and gps tracking,Wearables
11,Gaming Headset,surround sound gaming headset with detachable noise cancelling microphone,Gaming
12,External SSD,compact external ssd with read speeds up to 1050mb/s and usb 3.2 support,Storage
14,Mechanical Numpad,compact mechanical numpad with hot-swap switches and per key rgb,Keyboards
15,Portable Projector,mini portable projector with 1080p resolution and built in android os,Display
16,RAM Kit,32gb ddr5 ram kit with rgb lighting and xmp 3.0 support,Components
17,Action Camera,waterproof action camera with 5k video   and image stabilisation,Cameras
19,Noise Cancelling Earbuds,true wireless earbuds with active noise cancellation and 8hr battery life,Audio
20,PCIe SSD,high performance pcie 4.0 ssd with read speeds of 7000mb/s,Storage
